province,var,alpha,mu,C,P,f2025,ci25lo,ci25hi,f2030,ci30lo,ci30hi,arima30,holt30,grade
Anhui,mech,-.0241249437713311,.4667111589699631,.449520712212222,.8,.6318509247459545,.6039474369495068,.6629414790567466,.712855123280832,.6614963141605393,.7705889399804332,.6651375014237164,.658533717130101,II
Anhui,green,.0072760577294739,.5530495806899469,.671082340986345,.8,.5049192943440346,.4881422962835568,.5237335041200424,.4868803060176532,.4604241693808422,.5163611712667062,.524649923925099,.5229081202380206,IV
Anhui,dcoord,-.0040733918923612,.7082109358360658,.7837920447587385,.5,.7452785850611008,.7302052013972684,.7604947747852051,.7606132742047578,.7350867347842183,.7863063926430606,.7603944298940915,.7556460020818569,IV
Chongqing,mech,-.0291350637517111,.2609724784750366,.1860487071036976,1,.3752897255428049,.3654546690003586,.383811395769885,.4341428588846838,.4154265544276995,.4512631437187314,.4078418129110492,.4208610017322691,I
Chongqing,green,.0133688015906998,.4487953907245192,.2291680691149947,1,.3797892023005005,.3746389622272531,.3854856992402055,.3552324486257916,.3471255175937472,.3636371823003222,.3483230697607224,.3297613895582526,I
Chongqing,dcoord,-.0040680441752526,.5844790436619961,.3777500027816231,1,.6149435874627613,.6093727342039358,.6199975311185184,.6275797513861789,.6182048061407442,.6363568348745112,.6192211736096849,.5951422224840359,II
Guizhou,mech,-.0893494237766962,.1374210239942546,.3036874175616558,1,.4184264917187406,.3707561058754998,.4651722286271285,.6540922171655028,.5364664061013602,.7902364549471588,.4241637781522055,.470688298185507,I
Guizhou,green,.0004531873785981,.4661378077780391,.7984959761602706,.5,.4635091333717583,.4576760705998339,.469413972925895,.4624600399649808,.4528476417453433,.4722674444513842,.4609470437639618,.4567285332317831,IV
Guizhou,dcoord,-.023418778443819,.498484752234338,.2929317132100966,1,.6679067136610435,.6457960961634462,.6873821161240062,.7508774122839732,.7096145625278801,.7882005523594884,.6925698720513122,.718606186021717,I
Hubei,mech,-.0102106527309356,.4025451737290182,.7687412135666261,.7,.4574707617916616,.4344009182991762,.4797060594495258,.4814325978178005,.4426501977948917,.5208156573677286,.4597092823537446,.467781421611891,IV
Hubei,green,.0056936189433062,.5163016959017196,.5660242274268265,.8,.4808413738389845,.473054126856395,.4898940314141846,.4673457449151073,.4549545316304709,.4813017499035332,.4800156648632348,.4722014134622226,III
Hubei,dcoord,-.0010941390087122,.67529942359497,.9561714626840836,.6,.6846030924831439,.6743900230945996,.6932434381166687,.6883586105085442,.6716210099997397,.7032043115460838,.6896291590237523,.6779556386996765,IV
Hunan,mech,-.0487221763505371,.363460245141325,.2897251957482195,1,.670725701915492,.634881062464933,.709937158243487,.8557438965944186,.7793290988270114,.9408478244255705,.7378379657355683,.7092868898847582,I
Hunan,green,.0102965010600581,.410009383807055,.4714004235399957,.8,.360416842607755,.3503017215124359,.3712163196048771,.3423312215462317,.326603636799147,.3588848879536687,.3591197959714956,.3899199557175049,II
Hunan,dcoord,-.0094701377926275,.6222000160694373,.446448333202224,.9,.7005398578677813,.6867002530145421,.7129704668064687,.7345087822313445,.7103815330135405,.7565357092913402,.7313257988534682,.7329467803840536,II
Jiangsu,mech,-.0056688685679151,.688890798672418,.5544709521842009,.8,.7393912835179322,.7241218251089989,.7531298530538528,.7606486839057425,.7356869013335355,.7842172846342876,.7636344516043873,.7626385101996219,III
Jiangsu,green,.0037357970761914,.6292094968983015,.5620768288291116,.7,.6005061176632296,.5935902223799665,.607668825081231,.5893933830786864,.5783745230336365,.6008566993738398,.600025819123183,.6108774018932354,III
Jiangsu,dcoord,-.0004643349316001,.8114519139255152,.8599768516442037,.5,.8161732903042775,.8104751049476591,.8218031134842988,.8180703805098801,.8091988033823782,.8277375459145787,.8234631247839815,.8388930098086745,IV
Jiangxi,mech,-.0360887157413783,.3497198588344756,.124021023021852,1,.5472735117567868,.5357175885344803,.5600878037512997,.6554960502633804,.6324030053650043,.6812807486256908,.6198696938066381,.6506450234259809,I
Jiangxi,green,-.0076600708919583,.4238029865480336,.5940075846933515,.7,.466531162350158,.4568508918882543,.4772885229578648,.484746063223227,.468119504566004,.5025136524252989,.4812175132254231,.4927667931587286,III
Jiangxi,dcoord,-.0110095921645524,.6198240208649349,.1403588023376464,1,.711167677822516,.705844188387308,.7164381180265152,.7514135730129397,.7421728748502417,.760770939553327,.7464355097283224,.7815170897582638,I
Shanghai,mech,.0255323199649001,.5353909598310446,.4408367268708494,.8,.3886142238909507,.3615176419251925,.415144379617257,.3420392646392578,.3051835178968296,.3806336129422693,.4216256696874415,.6455571328378958,II
Shanghai,green,-.0345497857163835,.3134103095608201,.1571680938656941,1,.4831460097882321,.4728240573452151,.4945752522485538,.5742517185494869,.5535984790077892,.5970138487840486,.537032359882986,.5475931434718353,I
Shanghai,dcoord,-.0022214763783339,.6400059482497604,.896712406677204,.7,.6580545047582405,.6451263353981176,.6708157047479603,.6654045115479335,.6440677814315109,.6868599726337706,.7098348584022757,.7839270977927144,IV
Sichuan,mech,-.0318329612557162,.3145117086299652,.2158994990318291,1,.4691377654411433,.4559867752113694,.4826178734018449,.5500786535935092,.5239550624489535,.5772145406541553,.5180875907034738,.5060777232783323,I
Sichuan,green,.004288631714886,.5276615815928261,.4449827941792479,.9,.5001014758740041,.4940239411022304,.5052094547122351,.4894918787891669,.4800122166171867,.4979295581092885,.4856477276115858,.4985949932091219,II
Sichuan,dcoord,-.007055146220358,.6378413940622626,.2438974719232857,1,.6967355772703741,.6919279761596329,.7017073001658553,.721752077704636,.7136732603401207,.7303031304086851,.7185080837603157,.7085617417590977,I
Yunnan,mech,.0050749285592452,.2393576633650132,.3254288828601725,1,.2250324714099037,.2128178178077013,.2370079400546093,.2193941900427845,.2005666122710982,.2389427259961288,.2218155302586903,.2426066395843531,I
Yunnan,green,-.0110580557264069,.4667851414973853,.5270680690625437,.8,.5363432631188942,.5209766307071924,.5510912000482765,.5668329565090673,.5409405704929859,.5923208719612874,.5471596930116644,.5227100107883386,III
Yunnan,dcoord,-.0015555794540039,.5783165148267688,.378897260252696,1,.5895939660508702,.5789278381144868,.6002268836781667,.5941976476224795,.576796296429859,.6118188584629649,.5917995188905812,.5968231828637002,II
Zhejiang,mech,-.0120672323490704,.4006896965656288,.2635290072478068,1,.4673177920236853,.4557388521760259,.4785201803709791,.4963819469996906,.4755120729238438,.5163999177224049,.4921953785881137,.4989167867030689,I
Zhejiang,green,.0186775566595701,.5111642213278406,.4085432970264816,.9,.4049829246553074,.3904566405722864,.4193068052160621,.3688747374761334,.3471782987116547,.3900001412446144,.3742370361694924,.4019236656129933,II
Zhejiang,dcoord,.0017732705395499,.6737784836509364,.1849160602182652,1,.6589531939301878,.6555439118293662,.6624800174608083,.6531365070056268,.6474282864272425,.6589457265532872,.6603808866842158,.6927087270415517,I
