province,var,grade,f2025,ci25lo,ci25hi,f2030,ci30lo,ci30hi,arima30,holt30,alpha,mu,C,P
Anhui,M,II,.6318509247459545,.6039474369495068,.6629414790567466,.712855123280832,.6614963141605393,.7705889399804332,.6651375014237164,.658533717130101,-.0241249437713311,.4667111589699631,.449520712212222,.8
Chongqing,D,II,.6149435874627613,.6093727342039358,.6199975311185184,.6275797513861789,.6182048061407442,.6363568348745112,.6192211736096849,.5951422224840359,-.0040680441752526,.5844790436619961,.3777500027816231,1
Chongqing,G,I,.3797892023005005,.3746389622272531,.3854856992402055,.3552324486257916,.3471255175937472,.3636371823003222,.3483230697607224,.3297613895582526,.0133688015906998,.4487953907245192,.2291680691149947,1
Chongqing,M,I,.3752897255428049,.3654546690003586,.383811395769885,.4341428588846838,.4154265544276995,.4512631437187314,.4078418129110492,.4208610017322691,-.0291350637517111,.2609724784750366,.1860487071036976,1
Guizhou,D,I,.6679067136610435,.6457960961634462,.6873821161240062,.7508774122839732,.7096145625278801,.7882005523594884,.6925698720513122,.718606186021717,-.023418778443819,.498484752234338,.2929317132100966,1
Guizhou,M,I,.4184264917187406,.3707561058754998,.4651722286271285,.6540922171655028,.5364664061013602,.7902364549471588,.4241637781522055,.470688298185507,-.0893494237766962,.1374210239942546,.3036874175616558,1
Hunan,D,II,.7005398578677813,.6867002530145421,.7129704668064687,.7345087822313445,.7103815330135405,.7565357092913402,.7313257988534682,.7329467803840536,-.0094701377926275,.6222000160694373,.446448333202224,.9
Hunan,G,II,.360416842607755,.3503017215124359,.3712163196048771,.3423312215462317,.326603636799147,.3588848879536687,.3591197959714956,.3899199557175049,.0102965010600581,.410009383807055,.4714004235399957,.8
Hunan,M,I,.670725701915492,.634881062464933,.709937158243487,.8557438965944186,.7793290988270114,.9408478244255705,.7378379657355683,.7092868898847582,-.0487221763505371,.363460245141325,.2897251957482195,1
Jiangxi,D,I,.711167677822516,.705844188387308,.7164381180265152,.7514135730129397,.7421728748502417,.760770939553327,.7464355097283224,.7815170897582638,-.0110095921645524,.6198240208649349,.1403588023376464,1
Jiangxi,M,I,.5472735117567868,.5357175885344803,.5600878037512997,.6554960502633804,.6324030053650043,.6812807486256908,.6198696938066381,.6506450234259809,-.0360887157413783,.3497198588344756,.124021023021852,1
Shanghai,G,I,.4831460097882321,.4728240573452151,.4945752522485538,.5742517185494869,.5535984790077892,.5970138487840486,.537032359882986,.5475931434718353,-.0345497857163835,.3134103095608201,.1571680938656941,1
Shanghai,M,II,.3886142238909507,.3615176419251925,.415144379617257,.3420392646392578,.3051835178968296,.3806336129422693,.4216256696874415,.6455571328378958,.0255323199649001,.5353909598310446,.4408367268708494,.8
Sichuan,D,I,.6967355772703741,.6919279761596329,.7017073001658553,.721752077704636,.7136732603401207,.7303031304086851,.7185080837603157,.7085617417590977,-.007055146220358,.6378413940622626,.2438974719232857,1
Sichuan,G,II,.5001014758740041,.4940239411022304,.5052094547122351,.4894918787891669,.4800122166171867,.4979295581092885,.4856477276115858,.4985949932091219,.004288631714886,.5276615815928261,.4449827941792479,.9
Sichuan,M,I,.4691377654411433,.4559867752113694,.4826178734018449,.5500786535935092,.5239550624489535,.5772145406541553,.5180875907034738,.5060777232783323,-.0318329612557162,.3145117086299652,.2158994990318291,1
Yunnan,D,II,.5895939660508702,.5789278381144868,.6002268836781667,.5941976476224795,.576796296429859,.6118188584629649,.5917995188905812,.5968231828637002,-.0015555794540039,.5783165148267688,.378897260252696,1
Yunnan,M,I,.2250324714099037,.2128178178077013,.2370079400546093,.2193941900427845,.2005666122710982,.2389427259961288,.2218155302586903,.2426066395843531,.0050749285592452,.2393576633650132,.3254288828601725,1
Zhejiang,D,I,.6589531939301878,.6555439118293662,.6624800174608083,.6531365070056268,.6474282864272425,.6589457265532872,.6603808866842158,.6927087270415517,.0017732705395499,.6737784836509364,.1849160602182652,1
Zhejiang,G,II,.4049829246553074,.3904566405722864,.4193068052160621,.3688747374761334,.3471782987116547,.3900001412446144,.3742370361694924,.4019236656129933,.0186775566595701,.5111642213278406,.4085432970264816,.9
Zhejiang,M,I,.4673177920236853,.4557388521760259,.4785201803709791,.4963819469996906,.4755120729238438,.5163999177224049,.4921953785881137,.4989167867030689,-.0120672323490704,.4006896965656288,.2635290072478068,1
