province,var,alpha,mu,C,grade,actual2022,f2025,f2030,keyvar,P,joint,cg_only,conflict
Anhui,mech,-0.02412494377133113,0.46671115896996257,0.44952071221226086,Grade II (Qualified),0.5848807924181465,0.6318509247459545,0.7128551232808356,mech,0.8,Grade II,Grade,True
Anhui,green,0.007276057729473909,0.5530495806899476,0.6710823409862979,Grade IV (Unqualified),0.538337198067721,0.5049192943440346,0.4868803060176674,green,0.8,Grade IV,Grade,True
Anhui,dcoord,-0.004073391892361117,0.7082109358360663,0.7837920447591906,Grade IV (Unqualified),0.74460795171801,0.7452785850610724,0.7606132742047578,coord,0.5,Grade IV,Grade,True
Chongqing,mech,-0.029135063751711213,0.260972478475036,0.1860487071036975,Grade I (Good),0.3352279479279591,0.37528972554280315,0.43414285888468385,mech,1.0,Grade I,Grade,True
Chongqing,green,0.013368801590699985,0.4487953907245199,0.229168069115071,Grade I (Good),0.3913956428313248,0.3797892023005005,0.35523244862579517,green,1.0,Grade I,Grade,True
Chongqing,dcoord,-0.00406804417525264,0.5844790436619958,0.37775000278175247,Grade II (Qualified),0.6018510905223697,0.6149435874627613,0.6275797513861789,coord,1.0,Grade II,Grade,True
Guizhou,mech,-0.08934942377669625,0.13742102399425454,0.3036874175616548,Grade I (Good),0.2914810035583781,0.4184264917187397,0.6540922171655028,mech,1.0,Grade I,Grade,True
Guizhou,green,0.00045318737859800226,0.46613780777803865,0.7984959761571434,Grade IV (Unqualified),0.4618670362851064,0.46350913337187194,0.4624600399647534,green,0.5,Grade IV,Grade,True
Guizhou,dcoord,-0.023418778443818976,0.49848475223433814,0.2929317132100961,Grade I (Good),0.6057337975568411,0.6679067136610435,0.7508774122839732,coord,1.0,Grade I,Grade,True
Hubei,mech,-0.010210652730935682,0.402545173729018,0.7687412135667054,Grade IV (Unqualified),0.4406423965178235,0.4574707617916616,0.48143259781781467,mech,0.7,Grade IV,Grade,True
Hubei,green,0.005693618943306157,0.5163016959017198,0.5660242274268179,Grade III (Barely qualified),0.4979054743284626,0.4808413738389987,0.46734574491509306,green,0.8,Grade III,Grade,True
Hubei,dcoord,-0.0010941390087121094,0.6752994235949706,0.9561714626853202,Grade IV (Unqualified),0.684397312667746,0.6846030924831439,0.6883586105086579,coord,0.6,Grade IV,Grade,True
Hunan,mech,-0.048722176350537154,0.3634602451413245,0.2897251957482178,Grade I (Good),0.5716260898948196,0.6707257019154884,0.8557438965944186,mech,1.0,Grade I,Grade,True
Hunan,green,0.01029650106005797,0.410009383807055,0.47140042354002637,Grade II (Qualified),0.382645602302581,0.360416842607755,0.34233122154623175,green,0.8,Grade II,Grade,True
Hunan,dcoord,-0.009470137792627458,0.6222000160694371,0.4464483332025437,Grade II (Qualified),0.6838757313083147,0.7005398578677955,0.7345087822313587,coord,0.9,Grade II,Grade,True
Jiangsu,mech,-0.00566886856791503,0.688890798672418,0.5544709521843524,Grade III (Barely qualified),0.734621931407891,0.7393912835179322,0.7606486839057425,mech,0.8,Grade III,Grade,True
Jiangsu,green,0.0037357970761914337,0.6292094968983006,0.5620768288289806,Grade III (Barely qualified),0.614383120423025,0.6005061176632296,0.5893933830786864,green,0.7,Grade III,Grade,True
Jiangsu,dcoord,-0.00046433493159985965,0.8114519139255155,0.8599768516357893,Grade IV (Unqualified),0.8196449946767997,0.8161732903038228,0.8180703805098801,coord,0.5,Grade IV,Grade,True
Jiangxi,mech,-0.03608871574137812,0.3497198588344758,0.1240210230218648,Grade I (Good),0.4919459153394443,0.5472735117567868,0.6554960502633733,mech,1.0,Grade I,Grade,True
Jiangxi,green,-0.007660070891958527,0.4238029865480335,0.5940075846932299,Grade III (Barely qualified),0.4598639405426487,0.4665311623501722,0.4847460632232199,green,0.7,Grade III,Grade,True
Jiangxi,dcoord,-0.011009592164552174,0.6198240208649347,0.14035880233779913,Grade I (Good),0.6896626055276653,0.711167677822516,0.7514135730129397,coord,1.0,Grade I,Grade,True
Shanghai,mech,0.02553231996490009,0.5353909598310443,0.44083672687085323,Grade II (Qualified),0.4553792410646711,0.38861422389094713,0.3420392646392578,mech,0.8,Grade II,Grade,True
Shanghai,green,-0.03454978571638356,0.31341030956081944,0.15716809386569278,Grade I (Good),0.4388831290242216,0.4831460097882321,0.5742517185494869,green,1.0,Grade I,Grade,True
Shanghai,dcoord,-0.0022214763783336665,0.6400059482497609,0.8967124066767521,Grade IV (Unqualified),0.6686217939848939,0.6580545047582973,0.6654045115478766,coord,0.7,Grade IV,Grade,True
Sichuan,mech,-0.031832961255716184,0.3145117086299655,0.2158994990318249,Grade I (Good),0.421525220691875,0.4691377654411433,0.5500786535935127,mech,1.0,Grade I,Grade,True
Sichuan,green,0.004288631714886155,0.5276615815928263,0.4449827941795097,Grade II (Qualified),0.5069921927341625,0.5001014758740041,0.4894918787891669,green,0.9,Grade II,Grade,True
Sichuan,dcoord,-0.007055146220357641,0.637841394062263,0.24389747192321412,Grade I (Good),0.6799174841593946,0.6967355772703883,0.7217520777046502,coord,1.0,Grade I,Grade,True
Yunnan,mech,0.005074928559244968,0.23935766336501296,0.3254288828601614,Grade I (Good),0.2335014910019964,0.2250324714099179,0.2193941900427845,mech,1.0,Grade I,Grade,True
Yunnan,green,-0.011058055726407012,0.4667851414973849,0.5270680690625321,Grade III (Barely qualified),0.5160650629141823,0.53634326311888,0.5668329565090602,green,0.8,Grade III,Grade,True
Yunnan,dcoord,-0.0015555794540038194,0.5783165148267685,0.378897260252542,Grade II (Qualified),0.589180723452855,0.5895939660508702,0.5941976476224795,coord,1.0,Grade II,Grade,True
Zhejiang,mech,-0.01206723234907069,0.40068969656562836,0.2635290072477677,Grade I (Good),0.4534406057117409,0.4673177920236853,0.4963819469996835,mech,1.0,Grade I,Grade,True
Zhejiang,green,0.01867755665957019,0.5111642213278406,0.40854329702651604,Grade II (Qualified),0.4331120918506161,0.40498292465531094,0.3688747374761334,green,0.9,Grade II,Grade,True
Zhejiang,dcoord,0.0017732705395501033,0.6737784836509364,0.1849160602184581,Grade I (Good),0.665702487044882,0.6589531939301878,0.6531365070055699,coord,1.0,Grade I,Grade,True
