province,year,Total agricultural machinery power (10^4 kW) (China Rural Statistical Yearbook),Total agricultural output value (10^8 yuan) (China Rural Statistical Yearbook),Agricultural mechanization service organizations at year-end (units) (China Agricultural Machinery Industry Yearbook),Agricultural machinery households at year-end (units) (China Agricultural Machinery Industry Yearbook),Cultivated land area per agricultural laborer (10^3 ha/10^4 persons),Machine-ploughing rate (%),Machine-sowing rate (%),Machine-harvesting rate (%),Mechanized irrigation rate (%),Mechanized plant-protection rate (%),Agricultural machinery power per sown area (10^4 kW/10^3 ha),Agricultural output value per agricultural laborer (10^8 yuan/10^4 persons),Agricultural output value per unit cultivated area (10^8 yuan/10^3 ha),Operation income of agricultural machinery per 10^4 kW (10^8 yuan/10^4 kW),Agricultural carbon emissions,M_entropy,M_equal
Shanghai,2022,0.01,0.01,0.01,0.01,0.8432415109784732,1.01,0.5506070385156236,0.4584758017711094,0.01,1.01,0.01,0.7304707131969107,0.5486412198410744,0.4517536853242632,1.01,0.4653792410646711,0.4448793313084969
Shanghai,2021,0.01,0.01,0.01,0.01,0.6323495106681731,1.01,0.5384675046565172,0.4702799166236093,0.01,1.01,0.01,0.5521530139366051,0.5288032436512881,0.4621811384456786,1.01,0.4340528172013278,0.4182822885321247
Shanghai,2020,0.01,0.01,0.01,0.01,0.5694569954454405,0.9758326948227236,0.5550826489439776,0.4729185007036015,0.01,1.01,0.0127757574783904,0.5280836950307944,0.5292373395288879,0.4337748746229482,1.01,0.4265901674281355,0.4098108337717843
Shanghai,2019,0.01,0.01,0.01,0.01,0.4630849918237443,1.01,0.6477689937049519,0.4928512690763786,0.01,1.01,0.01,0.5911158455599402,0.4738738065833688,0.3573872216780324,1.01,0.4261902568472947,0.4077388085617611
Shanghai,2018,0.01,0.01,0.01,0.01,0.6008280838358953,1.01,0.4538525940282513,0.3888319170574024,1.01,1.01,0.01,0.7558768487357893,0.4798252005995084,0.3293552857208265,1.01,0.4849215737805187,0.4732379953318448
Shanghai,2017,0.01,0.01,0.01,0.01,0.6077277426502166,1.01,0.4193876939053661,0.4946502797147062,1.01,1.01,0.073687531463544,0.7500811985507689,0.4951307348521402,0.4813391284562096,1.01,0.5041585057507663,0.4934669539728634
Shanghai,2016,0.01,0.01,0.01,0.01,0.6156345346704013,1.01,0.3922806617996025,0.5793891758281648,1.01,1.01,0.0623451754824353,0.7186123737911726,0.4500343507055213,0.4957023090623805,1.01,0.5013450245103194,0.4929332387559785
Shanghai,2015,0.01,0.01,0.01,0.01,0.7964607285439738,1.01,0.3129856561876141,0.6503466869003692,1.01,1.01,0.01,0.8000082645402791,0.5256442333692694,0.4376846296224536,1.01,0.5163600575753675,0.5075420132775972
Shanghai,2014,0.01,0.01,0.01,0.01,0.8902766098338516,1.01,0.3082740240595872,0.5991746734464684,0.7726760196839971,1.01,0.01,1.01,0.5854796253463527,0.3628819418819071,1.01,0.5224970765352381,0.5072508596168109
Shanghai,2013,0.01,0.01,0.01,0.01,0.7824412961157502,1.01,0.2487178613370758,0.6136089523308991,0.9917230711143954,1.01,0.01,0.9745790819295194,0.7008747583473482,1.01,1.01,0.5648277655734965,0.5601296680783325
